#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.00000    -26.845959    -26.839964
   0.04218    -26.845959    -26.839964
   0.08436    -26.845959    -26.839964
   0.12655    -26.845959    -26.839964
   0.16873    -26.845959    -26.839964
   0.21091    -26.845959    -26.839964
   0.25309    -26.845959    -26.839964
   0.25309    -26.845959    -26.839964
   0.29527    -26.845959    -26.839964
   0.33746    -26.845959    -26.839964
   0.37964    -26.845959    -26.839964
   0.42182    -26.845959    -26.839964
   0.46400    -26.845959    -26.839964
   0.50618    -26.845959    -26.839964
   0.50618    -26.845959    -26.839964
   0.55092    -26.845959    -26.839964
   0.59566    -26.845959    -26.839964
   0.64041    -26.845959    -26.839964
   0.68515    -26.845959    -26.839964
   0.72989    -26.845959    -26.839964
   0.77463    -26.845959    -26.839964
   0.81937    -26.845959    -26.839964
   0.86411    -26.845959    -26.839964
 
# Band-Index    2
   0.86411    -26.833988    -26.834622
   0.81937    -26.833988    -26.834622
   0.77463    -26.833988    -26.834622
   0.72989    -26.833987    -26.834621
   0.68515    -26.833987    -26.834621
   0.64041    -26.833987    -26.834621
   0.59566    -26.833987    -26.834621
   0.55092    -26.833987    -26.834621
   0.50618    -26.833988    -26.834622
   0.50618    -26.833988    -26.834622
   0.46400    -26.833988    -26.834622
   0.42182    -26.833988    -26.834622
   0.37964    -26.833987    -26.834621
   0.33746    -26.833987    -26.834621
   0.29527    -26.833987    -26.834621
   0.25309    -26.833988    -26.834622
   0.25309    -26.833988    -26.834622
   0.21091    -26.833988    -26.834622
   0.16873    -26.833988    -26.834622
   0.12655    -26.833988    -26.834622
   0.08436    -26.833988    -26.834622
   0.04218    -26.833988    -26.834622
   0.00000    -26.833988    -26.834622
 
# Band-Index    3
   0.00000    -26.689345    -26.689597
   0.04218    -26.689345    -26.689597
   0.08436    -26.689345    -26.689597
   0.12655    -26.689345    -26.689597
   0.16873    -26.689345    -26.689597
   0.21091    -26.689345    -26.689597
   0.25309    -26.689345    -26.689597
   0.25309    -26.689345    -26.689597
   0.29527    -26.689345    -26.689597
   0.33746    -26.689345    -26.689597
   0.37964    -26.689345    -26.689597
   0.42182    -26.689345    -26.689597
   0.46400    -26.689345    -26.689597
   0.50618    -26.689345    -26.689598
   0.50618    -26.689345    -26.689598
   0.55092    -26.689345    -26.689597
   0.59566    -26.689345    -26.689597
   0.64041    -26.689345    -26.689597
   0.68515    -26.689345    -26.689597
   0.72989    -26.689345    -26.689597
   0.77463    -26.689345    -26.689597
   0.81937    -26.689345    -26.689597
   0.86411    -26.689345    -26.689597
 
# Band-Index    4
   0.86411    -26.663448    -26.661468
   0.81937    -26.663448    -26.661468
   0.77463    -26.663448    -26.661468
   0.72989    -26.663448    -26.661468
   0.68515    -26.663448    -26.661468
   0.64041    -26.663448    -26.661468
   0.59566    -26.663448    -26.661468
   0.55092    -26.663448    -26.661468
   0.50618    -26.663449    -26.661468
   0.50618    -26.663449    -26.661468
   0.46400    -26.663448    -26.661468
   0.42182    -26.663448    -26.661468
   0.37964    -26.663448    -26.661468
   0.33746    -26.663448    -26.661468
   0.29527    -26.663448    -26.661468
   0.25309    -26.663448    -26.661468
   0.25309    -26.663448    -26.661468
   0.21091    -26.663448    -26.661468
   0.16873    -26.663448    -26.661468
   0.12655    -26.663448    -26.661468
   0.08436    -26.663448    -26.661468
   0.04218    -26.663448    -26.661468
   0.00000    -26.663448    -26.661468
 
# Band-Index    5
   0.00000    -26.508325    -26.496341
   0.04218    -26.508325    -26.496341
   0.08436    -26.508325    -26.496341
   0.12655    -26.508325    -26.496341
   0.16873    -26.508325    -26.496341
   0.21091    -26.508325    -26.496341
   0.25309    -26.508325    -26.496341
   0.25309    -26.508325    -26.496341
   0.29527    -26.508325    -26.496341
   0.33746    -26.508325    -26.496341
   0.37964    -26.508325    -26.496341
   0.42182    -26.508325    -26.496341
   0.46400    -26.508325    -26.496341
   0.50618    -26.508325    -26.496341
   0.50618    -26.508325    -26.496341
   0.55092    -26.508325    -26.496341
   0.59566    -26.508325    -26.496341
   0.64041    -26.508325    -26.496341
   0.68515    -26.508325    -26.496341
   0.72989    -26.508325    -26.496341
   0.77463    -26.508325    -26.496341
   0.81937    -26.508325    -26.496341
   0.86411    -26.508325    -26.496341
 
# Band-Index    6
   0.86411    -26.488764    -26.487649
   0.81937    -26.488764    -26.487649
   0.77463    -26.488764    -26.487649
   0.72989    -26.488764    -26.487649
   0.68515    -26.488764    -26.487649
   0.64041    -26.488764    -26.487649
   0.59566    -26.488764    -26.487649
   0.55092    -26.488764    -26.487649
   0.50618    -26.488764    -26.487649
   0.50618    -26.488764    -26.487649
   0.46400    -26.488764    -26.487649
   0.42182    -26.488764    -26.487649
   0.37964    -26.488764    -26.487649
   0.33746    -26.488764    -26.487649
   0.29527    -26.488764    -26.487649
   0.25309    -26.488764    -26.487649
   0.25309    -26.488764    -26.487649
   0.21091    -26.488764    -26.487649
   0.16873    -26.488764    -26.487649
   0.12655    -26.488764    -26.487649
   0.08436    -26.488764    -26.487649
   0.04218    -26.488764    -26.487649
   0.00000    -26.488764    -26.487649
 
# Band-Index    7
   0.00000    -26.338834    -26.362006
   0.04218    -26.338834    -26.362006
   0.08436    -26.338834    -26.362006
   0.12655    -26.338834    -26.362006
   0.16873    -26.338834    -26.362006
   0.21091    -26.338834    -26.362006
   0.25309    -26.338834    -26.362007
   0.25309    -26.338834    -26.362007
   0.29527    -26.338833    -26.362007
   0.33746    -26.338834    -26.362007
   0.37964    -26.338834    -26.362007
   0.42182    -26.338835    -26.362007
   0.46400    -26.338835    -26.362007
   0.50618    -26.338835    -26.362008
   0.50618    -26.338835    -26.362008
   0.55092    -26.338834    -26.362007
   0.59566    -26.338834    -26.362007
   0.64041    -26.338834    -26.362007
   0.68515    -26.338834    -26.362007
   0.72989    -26.338834    -26.362007
   0.77463    -26.338834    -26.362006
   0.81937    -26.338834    -26.362006
   0.86411    -26.338834    -26.362006
 
# Band-Index    8
   0.86411    -26.286950    -26.292101
   0.81937    -26.286949    -26.292100
   0.77463    -26.286948    -26.292099
   0.72989    -26.286947    -26.292098
